;Elite;Advanced;Economy
Базовая цена;500;250;150
Валюта;EUR;EUR;EUR
Рост 170+;20% к цене;20% к цене;15% к цене
Рост 150-170;10% к цене;10% к цене;5% к цене
Рост 130-150;5% к цене;5% к цене;0% к цене
Рост до 130;0% к цене;0% к цене;скидка 5% от цены
Рукава;30 за каждый;20 за каждый;10 за каждый
Юбка спереди;30;20;15
Юбка сзади;30;20;15
Декоративные элементы;30;20;10
Погон на плечо;20;20;20
Аэрография;10;10;10
Рисунок;30;20;10
Комбинезон;20% к цене;20% к цене;15% к цене
Камни Премиум;100;100;50
Срочность;40% к цене;30% к цене;10% к цене
